time,flow
2020-07-24,0.11529214144722
2020-07-25,0.120212539857896
2020-07-26,0.140333970351247
2020-07-27,0.165717393318091
2020-07-28,0.174266172308991
2020-07-29,0.158349672405792
2020-07-30,0.151345301742271
2020-07-31,0.13456473676027
2020-08-01,0.108959014680738
2020-08-02,0.14083305357688
2020-08-03,0.317001846984597
2020-08-04,0.398206061242558
2020-08-05,0.466531888203856
2020-08-06,0.516880987993951
2020-08-07,0.505994574136179
2020-08-08,0.404375000338478
2020-08-09,0.347666343017748
2020-08-10,0.287569318779368
2020-08-11,0.251505828244696
2020-08-12,0.278631722062211
2020-08-13,0.251383717646552
2020-08-14,0.24950156823928
2020-08-15,0.249347390689618
2020-08-16,0.28138006422448
2020-08-17,0.256312220189692
2020-08-18,0.223583192090936
2020-08-19,0.209987777664419
2020-08-20,0.204724773872552
2020-08-21,0.164046539298394
2020-08-22,0.138189254479919
2020-08-23,0.15471286692055
2020-08-24,0.154741737912571
2020-08-25,0.152119482313497
2020-08-26,0.148891586972301
2020-08-27,0.16609711788069
2020-08-28,0.204503639139328
2020-08-29,0.408765437881979
2020-08-30,0.510498978200932
2020-08-31,0.577790488614351
2020-09-01,0.599282376928716
2020-09-02,0.580926802795117
2020-09-03,0.408350787370665
2020-09-04,0.336118648194663
2020-09-05,0.284756174365396
2020-09-06,0.254055489804866
2020-09-07,0.211676914466329
2020-09-08,0.202245203858006
2020-09-09,0.228447974974699
2020-09-10,0.232713822974197
2020-09-11,0.232530037589698
2020-09-12,0.229735804261661
2020-09-13,0.204316221796219
2020-09-14,0.148107473716144
2020-09-15,0.131313549107987
2020-09-16,0.124335183898903
2020-09-17,0.126616289645016
2020-09-18,0.138019255496649
2020-09-19,0.139754833819858
2020-09-20,0.147527079494443
2020-09-21,0.165056263137897
2020-09-22,0.165656121069547
2020-09-23,0.151798061132075
2020-09-24,0.147245888227829
2020-09-25,0.138557619913517
2020-09-26,0.116123425883763
2020-09-27,0.103701632752601
2020-09-28,0.0968058487891008
2020-09-29,0.0922260744356825
2020-09-30,0.0971261112958647
2020-10-01,0.097436380090099
2020-10-02,0.0958882148251112
2020-10-03,0.0934224911042479
2020-10-04,0.0909809495382078
2020-10-05,0.0751074676967904
2020-10-06,0.0664733356634984
2020-10-07,0.0616135521289554
2020-10-08,0.0576518632719335
2020-10-09,0.0535707755954241
2020-10-10,0.0493602497290904
2020-10-11,0.0491323658744436
2020-10-12,0.0458276750798335
2020-10-13,0.0431974701250633
2020-10-14,0.040234359906408
2020-10-15,0.0377799030949657
2020-10-16,0.0321804310138229
2020-10-17,0.0284898056287611
2020-10-18,0.0258080988154194
2020-10-19,0.0239791163787771
2020-10-20,0.0224039545938405
2020-10-21,0.0293097165891958
2020-10-22,0.031570891312305
2020-10-23,0.0321265359916377
2020-10-24,0.0317871239435814
2020-10-25,0.0317184571000942
2020-10-26,0.0242477459917263
2020-10-27,0.0289321601425259
2020-10-28,0.0285414965528514
2020-10-29,0.0286875475796453
2020-10-30,0.0287040724392355
2020-10-31,0.0273783423071438
2020-11-01,0.0260233153132876
2020-11-02,0.0267711819779459
2020-11-03,0.0266924199357253
2020-11-04,0.0265668349541816
2020-11-05,0.027063742654839
2020-11-06,0.0217744571056216
2020-11-07,0.020544165031866
2020-11-08,0.0195826711381041
2020-11-09,0.0180171335644822
2020-11-10,0.0166443702558219
2020-11-11,0.0140253071507274
2020-11-12,0.0116876348227318
2020-11-13,0.0246180578430784
2020-11-14,0.0296643449155171
2020-11-15,0.0311363826736773
2020-11-16,0.0339205663172623
2020-11-17,0.0360366086670962
2020-11-18,0.0259428452247049
2020-11-19,0.0488270549724663
2020-11-20,0.0531261790548022
2020-11-21,0.0558579668800493
2020-11-22,0.0584826816875292
2020-11-23,0.0595274197939837
2020-11-24,0.0346433759530795
2020-11-25,0.0587519450116819
2020-11-26,0.0713971790115856
2020-11-27,0.0747079298955088
2020-11-28,0.0749775456779609
2020-11-29,0.0748221902237019
2020-11-30,0.0469732022721181
2020-12-01,0.0318338019649185
2020-12-02,0.0257242241932676
2020-12-03,0.0206621659561816
2020-12-04,0.0172742039187333
2020-12-05,0.0130817621976374
2020-12-06,0.00867303269932646
2020-12-07,0.00511199609766559
2020-12-08,0.00447191194120295
2020-12-09,0.00490892655815728
2020-12-10,0.00893205077701728
2020-12-11,0.00884552749944049
2020-12-12,0.00928817778452668
2020-12-13,0.00828348217746152
2020-12-14,0.00691208041966246
2020-12-15,0.00267926765925406
2020-12-16,0.00247824200205197
2020-12-17,0.00255788765068036
2020-12-18,0.00220270207746867
2020-12-19,0.000809354510699707
2020-12-20,0.000651712621003653
2020-12-21,0.00196769947104481
2020-12-22,0.00572752173313229
2020-12-23,0.00672290614155149
2020-12-24,0.00816593590134678
2020-12-25,0.00861174531409507
2020-12-26,0.00723554415698897
2020-12-27,0.00299617413432644
2020-12-28,0.00251313804267824
2020-12-29,0.00368487349133131
2020-12-30,0.0112570685035855
2020-12-31,0.0284896954765409
2021-01-01,0.0329838807694078
2021-01-02,0.03452933871504
2021-01-03,0.0332116248773588
2021-01-04,0.0245717186006008
2021-01-05,0.0217995138623656
2021-01-06,0.0354405019199719
2021-01-07,0.0363730209735196
2021-01-08,0.038291286364522
2021-01-09,0.0427315472758255
2021-01-10,0.0347580873437476
2021-01-11,0.0189896279319896
2021-01-12,0.0184714922194186
2021-01-13,0.0182751857785935
2021-01-14,0.0159968472504391
2021-01-15,0.0101345997500847
2021-01-16,0.0197994447709817
2021-01-17,0.0196997430503758
2021-01-18,0.0192680675580336
