time,flow
2020-07-24,0.0191688936590388
2020-07-25,0.0216777301198564
2020-07-26,0.0200804470035184
2020-07-27,0.0221217748558181
2020-07-28,0.0251886948809644
2020-07-29,0.0187700822179384
2020-07-30,0.0113517025596473
2020-07-31,0.00551986069534537
2020-08-01,0.00340598326416678
2020-08-02,0.00227424725856241
2020-08-03,0.00952481293155486
2020-08-04,0.0804142091028723
2020-08-05,0.0827167933517455
2020-08-06,0.0707392145202595
2020-08-07,0.0413881971369941
2020-08-08,0.0115783414679011
2020-08-09,0.0152872764404972
2020-08-10,0.00487620509918516
2020-08-11,3.39750769448057e-06
2020-08-12,0
2020-08-13,0
2020-08-14,0.00214414141441222
2020-08-15,0.000297677898043787
2020-08-16,0
2020-08-17,0
2020-08-18,0
2020-08-19,0
2020-08-20,0
2020-08-21,0
2020-08-22,0
2020-08-23,0
2020-08-24,0
2020-08-25,0
2020-08-26,0
2020-08-27,0
2020-08-28,0
2020-08-29,0.00582455268246395
2020-08-30,0.0845180719411671
2020-08-31,0.0893227880742877
2020-09-01,0.0552990916049336
2020-09-02,0.0180652296256861
2020-09-03,0
2020-09-04,0
2020-09-05,0
2020-09-06,0
2020-09-07,0
2020-09-08,0
2020-09-09,0
2020-09-10,0
2020-09-11,0
2020-09-12,0
2020-09-13,0
2020-09-14,0
2020-09-15,0
2020-09-16,0
2020-09-17,0
2020-09-18,0
2020-09-19,0
2020-09-20,0
2020-09-21,0
2020-09-22,0
2020-09-23,0
2020-09-24,0
2020-09-25,0
2020-09-26,0
2020-09-27,0
2020-09-28,0
2020-09-29,0
2020-09-30,0
2020-10-01,0
2020-10-02,0
2020-10-03,0
2020-10-04,0
2020-10-05,0
2020-10-06,0
2020-10-07,0
2020-10-08,0
2020-10-09,0
2020-10-10,0
2020-10-11,0
2020-10-12,0
2020-10-13,0
2020-10-14,0
2020-10-15,0
2020-10-16,0
2020-10-17,0
2020-10-18,0
2020-10-19,0
2020-10-20,0
2020-10-21,0
2020-10-22,0
2020-10-23,0
2020-10-24,0
2020-10-25,0
2020-10-26,0
2020-10-27,0
2020-10-28,0
2020-10-29,0
2020-10-30,0
2020-10-31,0
2020-11-01,0
2020-11-02,0
2020-11-03,0
2020-11-04,0
2020-11-05,0
2020-11-06,0
2020-11-07,0
2020-11-08,0
2020-11-09,0
2020-11-10,0
2020-11-11,0
2020-11-12,0
2020-11-13,0
2020-11-14,0
2020-11-15,0
2020-11-16,0
2020-11-17,0
2020-11-18,0
2020-11-19,0
2020-11-20,0
2020-11-21,0
2020-11-22,0
2020-11-23,0
2020-11-24,0
2020-11-25,0
2020-11-26,0
2020-11-27,0
2020-11-28,0
2020-11-29,0
2020-11-30,0
2020-12-01,0
2020-12-02,0
2020-12-03,0
2020-12-04,0
2020-12-05,0
2020-12-06,0
2020-12-07,0
2020-12-08,0
2020-12-09,0
2020-12-10,0
2020-12-11,0
2020-12-12,0
2020-12-13,0
2020-12-14,0
2020-12-15,0
2020-12-16,0
2020-12-17,0
2020-12-18,0
2020-12-19,0
2020-12-20,0
2020-12-21,0
2020-12-22,0
2020-12-23,0
2020-12-24,0
2020-12-25,0
2020-12-26,0
2020-12-27,0
2020-12-28,0
2020-12-29,0
2020-12-30,0
2020-12-31,0
2021-01-01,0
2021-01-02,0
2021-01-03,0
2021-01-04,0
2021-01-05,0
2021-01-06,0.000452982876738222
2021-01-07,0.00326860265763387
2021-01-08,0.00396375309843411
2021-01-09,0.00305229901248885
2021-01-10,0.00171822149386694
2021-01-11,0.00103851050540746
2021-01-12,0.00114503762032619
2021-01-13,0.00113698577281914
2021-01-14,0.00120892654064889
2021-01-15,0.00108160531966668
2021-01-16,0.00125670967916512
2021-01-17,0.00284365097422102
2021-01-18,0.00243908638556804
2021-01-19,0.00225441592223016
2021-01-20,0.00208729184655658
2021-01-21,0.00144896236138749
2021-01-22,0.00141110478627824
2021-01-23,0.00155002681581376
2021-01-24,0.00182301371405828
2021-01-25,0.00210861946174113
2021-01-26,0.00334122525097554
2021-01-27,0.00302417368842257
2021-01-28,0.00269311423053077
2021-01-29,0.00178099613057102
2021-01-30,0.00151601791468512
2021-01-31,0.00191739740067873
2021-02-01,0.00221436346250997
2021-02-02,0.00268009028104695
2021-02-03,0.00303620406750353
2021-02-04,0.00508802369116648
2021-02-05,0.00580332128628908
2021-02-06,0.00644185328908362
2021-02-07,0.0065663937884887
2021-02-08,0.00637130832636131
2021-02-09,0.00760318292187229
2021-02-10,0.00917348648528623
2021-02-11,0.00945667628761165
2021-02-12,0.00850581375511529
2021-02-13,0.00814851771673727
2021-02-14,0.0139225267017395
2021-02-15,0.0198744185136824
2021-02-16,0.0260569891707271
2021-02-17,0.0242879808268721
2021-02-18,0.0227666791175624
2021-02-19,0.0219262785055655
2021-02-20,0.0206647256319976
2021-02-21,0.0197263540814544
2021-02-22,0.0185854444576913
2021-02-23,0.0167425687200786
2021-02-24,0.0151716715059011
2021-02-25,0.0143952151798794
2021-02-26,0.0245291291645699
2021-02-27,0.0319618298508861
2021-02-28,0.0351478196153498
2021-03-01,0.0277028494949917
2021-03-02,0.0179477648949611
2021-03-03,0.0113751565993466
2021-03-04,0.00899484394634992
2021-03-05,0.00827394619490186
2021-03-06,0.00865386508153007
2021-03-07,0.00899220368572348
2021-03-08,0.00812688278511129
2021-03-09,0.00830013662505318
2021-03-10,0.010218078129095
2021-03-11,0.0121441380042383
2021-03-12,0.0125693685126633
2021-03-13,0.0127324565828942
2021-03-14,0.0127468481912146
2021-03-15,0.012611068637659
2021-03-16,0.0123456170766292
